alpha,beta,result
1,0,ciphertexthere
1,1,djqifsufyuifsf
1,2,ekrjgtvgzvjgtg
1,3,flskhuwhawkhuh
1,4,gmtlivxibxlivi
1,5,hnumjwyjcymjwj
1,6,iovnkxzkdznkxk
1,7,jpwolyaleaolyl
1,8,kqxpmzbmfbpmzm
1,9,lryqnacngcqnan
1,10,mszrobdohdrobo
1,11,ntaspcepiespcp
1,12,oubtqdfqjftqdq
1,13,pvcuregrkgurer
1,14,qwdvsfhslhvsfs
1,15,rxewtgitmiwtgt
1,16,syfxuhjunjxuhu
1,17,tzgyvikvokyviv
1,18,uahzwjlwplzwjw
1,19,vbiaxkmxqmaxkx
1,20,wcjbylnyrnbyly
1,21,xdkczmozsoczmz
1,22,yeldanpatpdana
1,23,zfmeboqbuqebob
1,24,agnfcprcvrfcpc
1,25,bhogdqsdwsgdqd
3,0,gytvmzfmrfvmzm
3,1,hzuwnagnsgwnan
3,2,iavxobhothxobo
3,3,jbwypcipuiypcp
3,4,kcxzqdjqvjzqdq
3,5,ldyarekrwkarer
3,6,mezbsflsxlbsfs
3,7,nfactgmtymctgt
3,8,ogbduhnuznduhu
3,9,phceviovaoeviv
3,10,qidfwjpwbpfwjw
3,11,rjegxkqxcqgxkx
3,12,skfhylrydrhyly
3,13,tlgizmszesizmz
3,14,umhjantaftjana
3,15,vnikboubgukbob
3,16,wojlcpvchvlcpc
3,17,xpkmdqwdiwmdqd
3,18,yqlnerxejxnere
3,19,zrmofsyfkyofsf
3,20,asnpgtzglzpgtg
3,21,btoqhuahmaqhuh
3,22,cuprivbinbrivi
3,23,dvqsjwcjocsjwj
3,24,ewrtkxdkpdtkxk
3,25,fxsulyelqeulyl
5,0,koxjuhrulrjuhu
5,1,lpykvisvmskviv
5,2,mqzlwjtwntlwjw
5,3,nramxkuxoumxkx
5,4,osbnylvypvnyly
5,5,ptcozmwzqwozmz
5,6,qudpanxarxpana
5,7,rveqboybsyqbob
5,8,swfrcpzctzrcpc
5,9,txgsdqaduasdqd
5,10,uyhterbevbtere
5,11,vziufscfwcufsf
5,12,wajvgtdgxdvgtg
5,13,xbkwhuehyewhuh
5,14,yclxivfizfxivi
5,15,zdmyjwgjagyjwj
5,16,aenzkxhkbhzkxk
5,17,bfoalyilcialyl
5,18,cgpbmzjmdjbmzm
5,19,dhqcnaknekcnan
5,20,eirdoblofldobo
5,21,fjsepcmpgmepcp
5,22,gktfqdnqhnfqdq
5,23,hlugreoriogrer
5,24,imvhsfpsjphsfs
5,25,jnwitgqtkqitgt
7,0,oebxcpdcfdxcpc
7,1,pfcydqedgeydqd
7,2,qgdzerfehfzere
7,3,rheafsgfigafsf
7,4,sifbgthgjhbgtg
7,5,tjgchuihkichuh
7,6,ukhdivjiljdivi
7,7,vliejwkjmkejwj
7,8,wmjfkxlknlfkxk
7,9,xnkglymlomglyl
7,10,yolhmznmpnhmzm
7,11,zpminaonqoinan
7,12,aqnjobporpjobo
7,13,brokpcqpsqkpcp
7,14,csplqdrqtrlqdq
7,15,dtqmresrusmrer
7,16,eurnsftsvtnsfs
7,17,fvsotgutwuotgt
7,18,gwtpuhvuxvpuhu
7,19,hxuqviwvywqviv
7,20,iyvrwjxwzxrwjw
7,21,jzwsxkyxaysxkx
7,22,kaxtylzybztyly
7,23,lbyuzmazcauzmz
7,24,mczvanbadbvana
7,25,ndawbocbecwbob
9,0,suflkxpkzplkxk
9,1,tvgmlyqlaqmlyl
9,2,uwhnmzrmbrnmzm
9,3,vxionasncsonan
9,4,wyjpobtodtpobo
9,5,xzkqpcupeuqpcp
9,6,yalrqdvqfvrqdq
9,7,zbmsrewrgwsrer
9,8,acntsfxshxtsfs
9,9,bdoutgytiyutgt
9,10,cepvuhzujzvuhu
9,11,dfqwviavkawviv
9,12,egrxwjbwlbxwjw
9,13,fhsyxkcxmcyxkx
9,14,gitzyldyndzyly
9,15,hjuazmezoeazmz
9,16,ikvbanfapfbana
9,17,jlwcbogbqgcbob
9,18,kmxdcphcrhdcpc
9,19,lnyedqidsiedqd
9,20,mozferjetjfere
9,21,npagfskfukgfsf
9,22,oqbhgtlgvlhgtg
9,23,prcihumhwmihuh
9,24,qsdjivnixnjivi
9,25,rtekjwojyokjwj
11,0,wkjzsfbstbzsfs
